CUST_NO,XCOORD,YCOORD,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME,INSTANCE,TYPE
40,0,45,20,567,624,90,C102,C
41,35,30,10,264,321,90,C102,C
42,35,32,10,166,235,90,C102,C
43,33,32,20,68,149,90,C102,C
44,33,35,10,16,80,90,C102,C
45,32,30,10,359,412,90,C102,C
46,30,30,10,541,600,90,C102,C
47,30,32,30,448,509,90,C102,C
48,30,35,10,1054,1127,90,C102,C
49,28,30,10,0,1122,90,C102,C
50,28,35,10,1001,1066,90,C102,C
51,26,32,10,0,1123,90,C102,C
52,25,30,10,725,786,90,C102,C
53,25,35,10,0,1124,90,C102,C
54,44,5,20,286,347,90,C102,C
55,42,10,40,186,257,90,C102,C
56,42,15,10,95,158,90,C102,C
57,40,5,30,385,436,90,C102,C
58,40,15,40,35,87,90,C102,C
59,38,5,30,471,534,90,C102,C
60,38,15,10,0,1110,90,C102,C
61,35,5,20,562,629,90,C102,C
62,50,30,10,531,610,90,C102,C
63,50,35,20,262,317,90,C102,C
64,50,40,50,171,218,90,C102,C
65,48,30,10,632,693,90,C102,C
66,48,40,10,76,129,90,C102,C
67,47,35,10,826,875,90,C102,C
68,47,40,10,12,77,90,C102,C
69,45,30,10,734,777,90,C102,C
70,45,35,10,916,969,90,C102,C
71,95,30,30,387,456,90,C102,C
72,95,35,20,293,360,90,C102,C
73,53,30,10,0,1122,90,C102,C
74,92,30,10,478,551,90,C102,C
75,53,35,50,353,412,90,C102,C
76,45,65,20,0,1130,90,C102,C
77,90,35,10,203,260,90,C102,C
78,88,30,10,574,643,90,C102,C
79,88,35,20,109,170,90,C102,C
80,87,30,10,668,731,90,C102,C
81,85,25,10,769,820,90,C102,C
82,85,35,30,47,124,90,C102,C
83,75,55,20,0,1110,90,C102,C
84,72,55,10,0,1113,90,C102,C
85,70,58,20,458,523,90,C102,C
86,68,60,30,0,1116,90,C102,C
87,66,55,10,173,238,90,C102,C
88,65,55,20,85,144,90,C102,C
89,65,60,30,645,708,90,C102,C
90,63,58,10,737,802,90,C102,C
91,60,55,10,20,84,90,C102,C
92,60,60,10,0,1123,90,C102,C
93,67,85,20,368,441,90,C102,C
94,65,85,40,475,518,90,C102,C
95,65,82,10,0,1105,90,C102,C
96,62,80,30,0,1108,90,C102,C
97,60,80,10,0,1109,90,C102,C
98,60,85,30,561,622,90,C102,C
99,58,75,20,0,1115,90,C102,C
100,55,80,10,743,820,90,C102,C
101,55,85,20,647,726,90,C102,C
1,40,50,0,0,1236,0,C103,C
2,45,68,10,0,1127,90,C103,C
3,45,70,30,0,1125,90,C103,C
4,42,66,10,0,1129,90,C103,C
5,42,68,10,727,782,90,C103,C
6,42,65,10,0,1130,90,C103,C
7,40,69,20,621,702,90,C103,C
8,40,66,20,0,1130,90,C103,C
9,38,68,20,255,324,90,C103,C
10,38,70,10,534,605,90,C103,C
11,35,66,10,357,410,90,C103,C
12,35,69,10,448,505,90,C103,C
13,25,85,20,0,1107,90,C103,C
14,22,75,30,30,92,90,C103,C
15,22,85,10,0,1106,90,C103,C
16,20,80,40,384,429,90,C103,C
17,20,85,40,0,1105,90,C103,C
18,18,75,20,99,148,90,C103,C
19,15,75,20,0,1110,90,C103,C
20,15,80,10,0,1106,90,C103,C
21,30,50,10,0,1136,90,C103,C
22,30,52,20,0,1135,90,C103,C
23,28,52,20,812,883,90,C103,C
24,28,55,10,732,777,90,C103,C
25,25,50,10,0,1131,90,C103,C
26,25,52,40,169,224,90,C103,C
27,25,55,10,0,1130,90,C103,C
28,23,52,10,261,316,90,C103,C
29,23,55,20,0,1128,90,C103,C
30,20,50,10,0,1126,90,C103,C
31,20,55,10,449,504,90,C103,C
32,10,35,20,0,1112,90,C103,C
33,10,40,30,0,1114,90,C103,C
34,8,40,40,87,158,90,C103,C
35,8,45,20,0,1113,90,C103,C
36,5,35,10,283,344,90,C103,C
37,5,45,10,665,716,90,C103,C
38,2,40,20,0,1106,90,C103,C
39,0,40,30,479,522,90,C103,C
40,0,45,20,567,624,90,C103,C
41,35,30,10,264,321,90,C103,C
42,35,32,10,166,235,90,C103,C
43,33,32,20,68,149,90,C103,C
44,33,35,10,0,1129,90,C103,C
45,32,30,10,359,412,90,C103,C
46,30,30,10,541,600,90,C103,C
47,30,32,30,0,1125,90,C103,C
48,30,35,10,0,1127,90,C103,C
49,28,30,10,0,1122,90,C103,C
50,28,35,10,1001,1066,90,C103,C
51,26,32,10,0,1123,90,C103,C
52,25,30,10,0,1121,90,C103,C
53,25,35,10,0,1124,90,C103,C
54,44,5,20,286,347,90,C103,C
55,42,10,40,0,1105,90,C103,C
56,42,15,10,95,158,90,C103,C
57,40,5,30,385,436,90,C103,C
58,40,15,40,0,1111,90,C103,C
59,38,5,30,471,534,90,C103,C
60,38,15,10,0,1110,90,C103,C
61,35,5,20,0,1100,90,C103,C
62,50,30,10,0,1123,90,C103,C
63,50,35,20,262,317,90,C103,C
64,50,40,50,0,1131,90,C103,C
65,48,30,10,632,693,90,C103,C
66,48,40,10,76,129,90,C103,C
67,47,35,10,826,875,90,C103,C
68,47,40,10,12,77,90,C103,C
69,45,30,10,734,777,90,C103,C
70,45,35,10,916,969,90,C103,C
71,95,30,30,387,456,90,C103,C
72,95,35,20,0,1088,90,C103,C
73,53,30,10,0,1122,90,C103,C
74,92,30,10,0,1090,90,C103,C
75,53,35,50,353,412,90,C103,C
76,45,65,20,0,1130,90,C103,C
77,90,35,10,203,260,90,C103,C
78,88,30,10,574,643,90,C103,C
79,88,35,20,109,170,90,C103,C
80,87,30,10,668,731,90,C103,C
81,85,25,10,769,820,90,C103,C
82,85,35,30,0,1098,90,C103,C
83,75,55,20,0,1110,90,C103,C
84,72,55,10,0,1113,90,C103,C
85,70,58,20,458,523,90,C103,C
86,68,60,30,0,1116,90,C103,C
87,66,55,10,0,1119,90,C103,C
88,65,55,20,85,144,90,C103,C
89,65,60,30,645,708,90,C103,C
90,63,58,10,0,1121,90,C103,C
91,60,55,10,0,1125,90,C103,C
92,60,60,10,0,1123,90,C103,C
93,67,85,20,368,441,90,C103,C
94,65,85,40,475,518,90,C103,C
95,65,82,10,0,1105,90,C103,C
96,62,80,30,0,1108,90,C103,C
97,60,80,10,0,1109,90,C103,C
98,60,85,30,0,1105,90,C103,C
99,58,75,20,0,1115,90,C103,C
100,55,80,10,743,820,90,C103,C
101,55,85,20,647,726,90,C103,C
1,40,50,0,0,1236,0,C104,C
2,45,68,10,0,1127,90,C104,C
3,45,70,30,0,1125,90,C104,C
4,42,66,10,0,1129,90,C104,C
5,42,68,10,727,782,90,C104,C
6,42,65,10,0,1130,90,C104,C
7,40,69,20,0,1127,90,C104,C
8,40,66,20,0,1130,90,C104,C
9,38,68,20,255,324,90,C104,C
10,38,70,10,534,605,90,C104,C
11,35,66,10,0,1129,90,C104,C
12,35,69,10,448,505,90,C104,C
13,25,85,20,0,1107,90,C104,C
14,22,75,30,30,92,90,C104,C
15,22,85,10,0,1106,90,C104,C
16,20,80,40,384,429,90,C104,C
17,20,85,40,0,1105,90,C104,C
18,18,75,20,0,1112,90,C104,C
19,15,75,20,0,1110,90,C104,C
20,15,80,10,0,1106,90,C104,C
21,30,50,10,0,1136,90,C104,C
22,30,52,20,0,1135,90,C104,C
23,28,52,20,0,1133,90,C104,C
24,28,55,10,732,777,90,C104,C
25,25,50,10,0,1131,90,C104,C
26,25,52,40,169,224,90,C104,C
27,25,55,10,0,1130,90,C104,C
28,23,52,10,0,1128,90,C104,C
29,23,55,20,0,1128,90,C104,C
30,20,50,10,0,1126,90,C104,C
31,20,55,10,0,1125,90,C104,C
32,10,35,20,0,1112,90,C104,C
33,10,40,30,0,1114,90,C104,C
34,8,40,40,0,1112,90,C104,C
35,8,45,20,0,1113,90,C104,C
36,5,35,10,0,1107,90,C104,C
37,5,45,10,0.00    1,110,90,C104,C
38,2,40,20,0,1106,90,C104,C
39,0,40,30,479,522,90,C104,C
40,0,45,20,0,1105,90,C104,C
41,35,30,10,0,1125,90,C104,C
42,35,32,10,0,1127,90,C104,C
43,33,32,20,0,1126,90,C104,C
44,33,35,10,0,1129,90,C104,C
45,32,30,10,359,412,90,C104,C
46,30,30,10,0,1123,90,C104,C
47,30,32,30,0,1125,90,C104,C
48,30,35,10,0,1127,90,C104,C
49,28,30,10,0,1122,90,C104,C
50,28,35,10,0,1126,90,C104,C
51,26,32,10,0,1123,90,C104,C
52,25,30,10,0,1121,90,C104,C
53,25,35,10,0,1124,90,C104,C
54,44,5,20,286,347,90,C104,C
55,42,10,40,0,1105,90,C104,C
56,42,15,10,95,158,90,C104,C
57,40,5,30,0,1101,90,C104,C
58,40,15,40,0,1111,90,C104,C
59,38,5,30,471,534,90,C104,C
60,38,15,10,0,1110,90,C104,C
61,35,5,20,0,1100,90,C104,C
62,50,30,10,0,1123,90,C104,C
63,50,35,20,262,317,90,C104,C
64,50,40,50,0,1131,90,C104,C
65,48,30,10,0,1124,90,C104,C
66,48,40,10,0,1133,90,C104,C
67,47,35,10,0,1129,90,C104,C
68,47,40,10,12,77,90,C104,C
69,45,30,10,0,1125,90,C104,C
70,45,35,10,916,969,90,C104,C
71,95,30,30,0,1087,90,C104,C
72,95,35,20,0,1088,90,C104,C
73,53,30,10,0,1122,90,C104,C
74,92,30,10,0,1090,90,C104,C
75,53,35,50,353,412,90,C104,C
76,45,65,20,0,1130,90,C104,C
77,90,35,10,203,260,90,C104,C
78,88,30,10,574,643,90,C104,C
79,88,35,20,0,1095,90,C104,C
80,87,30,10,668,731,90,C104,C
81,85,25,10,0,1094,90,C104,C
82,85,35,30,0,1098,90,C104,C
83,75,55,20,0,1110,90,C104,C
84,72,55,10,0,1113,90,C104,C
85,70,58,20,458,523,90,C104,C
86,68,60,30,0,1116,90,C104,C
87,66,55,10,0,1119,90,C104,C
88,65,55,20,85,144,90,C104,C
89,65,60,30,0,1119,90,C104,C
90,63,58,10,0,1121,90,C104,C
91,60,55,10,0,1125,90,C104,C
92,60,60,10,0,1123,90,C104,C
93,67,85,20,368,441,90,C104,C
94,65,85,40,0,1102,90,C104,C
95,65,82,10,0,1105,90,C104,C
96,62,80,30,0,1108,90,C104,C
97,60,80,10,0,1109,90,C104,C
98,60,85,30,0,1105,90,C104,C
99,58,75,20,0,1115,90,C104,C
100,55,80,10,743,820,90,C104,C
101,55,85,20,647,726,90,C104,C
1,40,50,0,0,1236,0,C105,C
2,45,68,10,885,994,90,C105,C
3,45,70,30,802,893,90,C105,C
4,42,66,10,25,186,90,C105,C
5,42,68,10,699,810,90,C105,C
6,42,65,10,15,120,90,C105,C
7,40,69,20,580,743,90,C105,C
8,40,66,20,142,253,90,C105,C
9,38,68,20,220,359,90,C105,C
10,38,70,10,499,640,90,C105,C
11,35,66,10,331,436,90,C105,C
12,35,69,10,420,533,90,C105,C
13,25,85,20,617,756,90,C105,C
14,22,75,30,30,155,90,C105,C
15,22,85,10,541,646,90,C105,C
16,20,80,40,362,451,90,C105,C
17,20,85,40,448,555,90,C105,C
18,18,75,20,75,172,90,C105,C
19,15,75,20,142,291,90,C105,C
20,15,80,10,244,379,90,C105,C
21,30,50,10,10,137,90,C105,C
22,30,52,20,888,991,90,C105,C
23,28,52,20,776,919,90,C105,C
24,28,55,10,709,800,90,C105,C
25,25,50,10,25,184,90,C105,C
26,25,52,40,142,251,90,C105,C
27,25,55,10,582,741,90,C105,C
28,23,52,10,234,343,90,C105,C
29,23,55,20,523,616,90,C105,C
30,20,50,10,335,428,90,C105,C
31,20,55,10,422,531,90,C105,C
32,10,35,20,181,256,90,C105,C
33,10,40,30,31,170,90,C105,C
34,8,40,40,52,193,90,C105,C
35,8,45,20,719,848,90,C105,C
36,5,35,10,252,375,90,C105,C
37,5,45,10,639,742,90,C105,C
38,2,40,20,357,460,90,C105,C
39,0,40,30,457,544,90,C105,C
40,0,45,20,538,653,90,C105,C
41,35,30,10,236,349,90,C105,C
42,35,32,10,132,269,90,C105,C
43,33,32,20,27,190,90,C105,C
44,33,35,10,16,144,90,C105,C
45,32,30,10,332,439,90,C105,C
46,30,30,10,512,629,90,C105,C
47,30,32,30,417,540,90,C105,C
48,30,35,10,982,1127,90,C105,C
49,28,30,10,601,724,90,C105,C
50,28,35,10,969,1098,90,C105,C
51,26,32,10,783,912,90,C105,C
52,25,30,10,695,816,90,C105,C
53,25,35,10,883,998,90,C105,C
54,44,5,20,255,378,90,C105,C
55,42,10,40,150,293,90,C105,C
56,42,15,10,63,190,90,C105,C
57,40,5,30,359,462,90,C105,C
58,40,15,40,35,140,90,C105,C
59,38,5,30,439,566,90,C105,C
60,38,15,10,607,784,90,C105,C
61,35,5,20,529,662,90,C105,C
62,50,30,10,491,650,90,C105,C
63,50,35,20,235,344,90,C105,C
64,50,40,50,147,242,90,C105,C
65,48,30,10,601,724,90,C105,C
66,48,40,10,50,155,90,C105,C
67,47,35,10,802,899,90,C105,C
68,47,40,10,12,143,90,C105,C
69,45,30,10,712,799,90,C105,C
70,45,35,10,889,996,90,C105,C
71,95,30,30,353,490,90,C105,C
72,95,35,20,260,393,90,C105,C
73,53,30,10,422,533,90,C105,C
74,92,30,10,442,587,90,C105,C
75,53,35,50,323,442,90,C105,C
76,45,65,20,962,1103,90,C105,C
77,90,35,10,175,288,90,C105,C
78,88,30,10,539,678,90,C105,C
79,88,35,20,78,201,90,C105,C
80,87,30,10,636,763,90,C105,C
81,85,25,10,744,845,90,C105,C
82,85,35,30,47,201,90,C105,C
83,75,55,20,344,445,90,C105,C
84,72,55,10,228,375,90,C105,C
85,70,58,20,425,556,90,C105,C
86,68,60,30,527,640,90,C105,C
87,66,55,10,141,270,90,C105,C
88,65,55,20,56,173,90,C105,C
89,65,60,30,614,739,90,C105,C
90,63,58,10,705,834,90,C105,C
91,60,55,10,20,148,90,C105,C
92,60,60,10,809,916,90,C105,C
93,67,85,20,331,478,90,C105,C
94,65,85,40,453,540,90,C105,C
95,65,82,10,260,361,90,C105,C
96,62,80,30,174,261,90,C105,C
97,60,80,10,64,187,90,C105,C
98,60,85,30,531,652,90,C105,C
99,58,75,20,30,139,90,C105,C
100,55,80,10,705,858,90,C105,C
101,55,85,20,608,765,90,C105,C
1,40,50,0,0,1236,0,C106,C
2,45,68,10,890,989,90,C106,C
3,45,70,30,816,879,90,C106,C
4,42,66,10,55,156,90,C106,C
5,42,68,10,703,806,90,C106,C
6,42,65,10,15,60,90,C106,C
7,40,69,20,559,764,90,C106,C
8,40,66,20,172,223,90,C106,C
9,38,68,20,250,329,90,C106,C
10,38,70,10,489,650,90,C106,C
11,35,66,10,361,406,90,C106,C
12,35,69,10,450,503,90,C106,C
13,25,85,20,647,726,90,C106,C
14,22,75,30,30,95,90,C106,C
15,22,85,10,571,616,90,C106,C
16,20,80,40,392,421,90,C106,C
17,20,85,40,478,525,90,C106,C
18,18,75,20,105,142,90,C106,C
19,15,75,20,172,261,90,C106,C
20,15,80,10,274,349,90,C106,C
21,30,50,10,10,77,90,C106,C
22,30,52,20,918,961,90,C106,C
23,28,52,20,806,889,90,C106,C
24,28,55,10,739,770,90,C106,C
25,25,50,10,55,154,90,C106,C
26,25,52,40,172,221,90,C106,C
27,25,55,10,612,711,90,C106,C
28,23,52,10,264,313,90,C106,C
29,23,55,20,553,586,90,C106,C
30,20,50,10,365,398,90,C106,C
31,20,55,10,452,501,90,C106,C
32,10,35,20,204,233,90,C106,C
33,10,40,30,31,189,90,C106,C
34,8,40,40,42,203,90,C106,C
35,8,45,20,715,852,90,C106,C
36,5,35,10,251,376,90,C106,C
37,5,45,10,648,733,90,C106,C
38,2,40,20,365,452,90,C106,C
39,0,40,30,474,527,90,C106,C
40,0,45,20,541,650,90,C106,C
41,35,30,10,240,345,90,C106,C
42,35,32,10,123,278,90,C106,C
43,33,32,20,19,225,90,C106,C
44,33,35,10,16,153,90,C106,C
45,32,30,10,338,433,90,C106,C
46,30,30,10,513,628,90,C106,C
47,30,32,30,415,542,90,C106,C
48,30,35,10,872,1127,90,C106,C
49,28,30,10,599,726,90,C106,C
50,28,35,10,917,1126,90,C106,C
51,26,32,10,779,916,90,C106,C
52,25,30,10,695,816,90,C106,C
53,25,35,10,857,1024,90,C106,C
54,44,5,20,221,412,90,C106,C
55,42,10,40,96,347,90,C106,C
56,42,15,10,35,233,90,C106,C
57,40,5,30,347,474,90,C106,C
58,40,15,40,35,172,90,C106,C
59,38,5,30,403,602,90,C106,C
60,38,15,10,521,870,90,C106,C
61,35,5,20,487,704,90,C106,C
62,50,30,10,422,719,90,C106,C
63,50,35,20,217,362,90,C106,C
64,50,40,50,142,247,90,C106,C
65,48,30,10,567,758,90,C106,C
66,48,40,10,34,171,90,C106,C
67,47,35,10,794,907,90,C106,C
68,47,40,10,12,226,90,C106,C
69,45,30,10,716,795,90,C106,C
70,45,35,10,873,1012,90,C106,C
71,95,30,30,266,577,90,C106,C
72,95,35,20,181,472,90,C106,C
73,53,30,10,402,553,90,C106,C
74,92,30,10,345,684,90,C106,C
75,53,35,50,294,471,90,C106,C
76,45,65,20,951,1114,90,C106,C
77,90,35,10,153,310,90,C106,C
78,88,30,10,450,767,90,C106,C
79,88,35,20,50,237,90,C106,C
80,87,30,10,567,832,90,C106,C
81,85,25,10,713,876,90,C106,C
82,85,35,30,47,331,90,C106,C
83,75,55,20,311,478,90,C106,C
84,72,55,10,127,476,90,C106,C
85,70,58,20,349,632,90,C106,C
86,68,60,30,476,691,90,C106,C
87,66,55,10,67,344,90,C106,C
88,65,55,20,25,256,90,C106,C
89,65,60,30,546,807,90,C106,C
90,63,58,10,630,909,90,C106,C
91,60,55,10,20,293,90,C106,C
92,60,60,10,769,956,90,C106,C
93,67,85,20,229,580,90,C106,C
94,65,85,40,442,551,90,C106,C
95,65,82,10,227,394,90,C106,C
96,62,80,30,163,272,90,C106,C
97,60,80,10,36,291,90,C106,C
98,60,85,30,469,714,90,C106,C
99,58,75,20,30,227,90,C106,C
100,55,80,10,595,968,90,C106,C
101,55,85,20,493,880,90,C106,C
1,40,50,0,0,1236,0,C107,C
2,45,68,10,850,1030,90,C107,C
3,45,70,30,758,938,90,C107,C
4,42,66,10,16,196,90,C107,C
5,42,68,10,665,845,90,C107,C
6,42,65,10,15,195,90,C107,C
7,40,69,20,572,752,90,C107,C
8,40,66,20,108,288,90,C107,C
9,38,68,20,200,380,90,C107,C
10,38,70,10,480,660,90,C107,C
11,35,66,10,294,474,90,C107,C
12,35,69,10,387,567,90,C107,C
13,25,85,20,597,777,90,C107,C
14,22,75,30,30,210,90,C107,C
15,22,85,10,504,684,90,C107,C
16,20,80,40,317,497,90,C107,C
17,20,85,40,412,592,90,C107,C
18,18,75,20,34,214,90,C107,C
19,15,75,20,127,307,90,C107,C
20,15,80,10,222,402,90,C107,C
21,30,50,10,10,190,90,C107,C
22,30,52,20,850,1030,90,C107,C
23,28,52,20,758,938,90,C107,C
24,28,55,10,665,845,90,C107,C
25,25,50,10,15,195,90,C107,C
26,25,52,40,107,287,90,C107,C
27,25,55,10,572,752,90,C107,C
28,23,52,10,199,379,90,C107,C
29,23,55,20,480,660,90,C107,C
30,20,50,10,292,472,90,C107,C
31,20,55,10,387,567,90,C107,C
32,10,35,20,129,309,90,C107,C
33,10,40,30,31,211,90,C107,C
34,8,40,40,33,213,90,C107,C
35,8,45,20,694,874,90,C107,C
36,5,35,10,224,404,90,C107,C
37,5,45,10,601,781,90,C107,C
38,2,40,20,319,499,90,C107,C
39,0,40,30,411,591,90,C107,C
40,0,45,20,506,686,90,C107,C
41,35,30,10,203,383,90,C107,C
42,35,32,10,111,291,90,C107,C
43,33,32,20,19,199,90,C107,C
44,33,35,10,16,196,90,C107,C
45,32,30,10,296,476,90,C107,C
46,30,30,10,481,661,90,C107,C
47,30,32,30,389,569,90,C107,C
48,30,35,10,947,1127,90,C107,C
49,28,30,10,573,753,90,C107,C
50,28,35,10,944,1124,90,C107,C
51,26,32,10,758,938,90,C107,C
52,25,30,10,666,846,90,C107,C
53,25,35,10,851,1031,90,C107,C
54,44,5,20,227,407,90,C107,C
55,42,10,40,132,312,90,C107,C
56,42,15,10,37,217,90,C107,C
57,40,5,30,321,501,90,C107,C
58,40,15,40,35,215,90,C107,C
59,38,5,30,413,593,90,C107,C
60,38,15,10,606,786,90,C107,C
61,35,5,20,506,686,90,C107,C
62,50,30,10,481,661,90,C107,C
63,50,35,20,200,380,90,C107,C
64,50,40,50,105,285,90,C107,C
65,48,30,10,573,753,90,C107,C
66,48,40,10,13,193,90,C107,C
67,47,35,10,761,941,90,C107,C
68,47,40,10,12,192,90,C107,C
69,45,30,10,666,846,90,C107,C
70,45,35,10,853,1033,90,C107,C
71,95,30,30,332,512,90,C107,C
72,95,35,20,237,417,90,C107,C
73,53,30,10,388,568,90,C107,C
74,92,30,10,425,605,90,C107,C
75,53,35,50,293,473,90,C107,C
76,45,65,20,943,1123,90,C107,C
77,90,35,10,142,322,90,C107,C
78,88,30,10,519,699,90,C107,C
79,88,35,20,50,230,90,C107,C
80,87,30,10,610,790,90,C107,C
81,85,25,10,705,885,90,C107,C
82,85,35,30,47,227,90,C107,C
83,75,55,20,305,485,90,C107,C
84,72,55,10,212,392,90,C107,C
85,70,58,20,401,581,90,C107,C
86,68,60,30,494,674,90,C107,C
87,66,55,10,116,296,90,C107,C
88,65,55,20,25,205,90,C107,C
89,65,60,30,587,767,90,C107,C
90,63,58,10,680,860,90,C107,C
91,60,55,10,20,200,90,C107,C
92,60,60,10,773,953,90,C107,C
93,67,85,20,315,495,90,C107,C
94,65,85,40,407,587,90,C107,C
95,65,82,10,221,401,90,C107,C
96,62,80,30,128,308,90,C107,C
97,60,80,10,36,216,90,C107,C
98,60,85,30,502,682,90,C107,C
99,58,75,20,30,210,90,C107,C
100,55,80,10,692,872,90,C107,C
101,55,85,20,597,777,90,C107,C
1,40,50,0,0,1236,0,C108,C
2,45,68,10,830,1049,90,C108,C
3,45,70,30,756,939,90,C108,C
4,42,66,10,16,336,90,C108,C
5,42,68,10,643,866,90,C108,C
6,42,65,10,15,226,90,C108,C
7,40,69,20,499,824,90,C108,C
8,40,66,20,87,308,90,C108,C
9,38,68,20,150,429,90,C108,C
10,38,70,10,429,710,90,C108,C
11,35,66,10,279,488,90,C108,C
12,35,69,10,363,590,90,C108,C
13,25,85,20,547,826,90,C108,C
